transaction_hash,transaction_index,block_number,gas_used,effective_gas_price,base_fee_per_gas,earn_txn_fee
0x56d8f2708583aa6d0ee3c4acf3fc1c2061bb69e58a5346c5922facf3ad4663b1,0,19000097,240148,19056534911,18956534911,24014800000000
0x091fd14fd64d732bf2bc7d129fe7a9a696ffc87cf078594f3925147e30aefafc,1,19000097,163367,18956534911,18956534911,0
0xad139f24eefdc6d17dca3aa231e4b5ced815da73a92cf10adb9f8fbf3cadf3c2,2,19000097,227693,19056534911,18956534911,22769300000000
0x42250fd1e6a2946e3397fc387a550f67181faac12b916e25d836c5854ce2f0b3,3,19000097,195222,19056534911,18956534911,19522200000000
0xa60a16df288df833733dec0ec7a5a56ea7cbc3dba25042c411bcc64620a4039b,4,19000097,155824,94899094692,18956534911,11833673435314544
0xcda8ca5ead07c9b661a74a5993119e642c7218979e52d0fa44ba79b4b2acdf5b,5,19000097,229469,48956534911,18956534911,6884070000000000
0x88272948406aa8dd40fd805c4a5f59d8fd24de14f13cf9d540faa3a404264ae1,6,19000097,219053,48956534911,18956534911,6571590000000000
0xea50b79edcbff74885ab659a65c93f2790567315189aaefef2d06df0827b00b2,7,19000097,169802,33956534911,18956534911,2547030000000000
0xae1bedbbb367b11dcb3c182960d2b01df08e95e2492a035716903c15cde336e1,8,19000097,169936,26956576980,18956534911,1359495149037584
0x47df4ff15555dee243a35bb836442db709bf79f05b77406cad4c57e7fcb1a552,9,19000097,159386,26956534911,18956534911,1275088000000000
0x799dc1396abc0f014e331ab27e323d689e7c0a653152e0bae1d261491fe44934,10,19000097,197578,25265159138,18956534911,1246445357522206
0x437bb98ee1d8b745514bb3f5ee5de0ac587a6179bff72671fc78996dee6d18b3,11,19000097,191296,25198880086,18956534911,1194135662596800
0x1d0223ba1cd54131638498f3d029bc137100dc4e886ca6d35581f164f14357a0,12,19000097,109790,28956534911,18956534911,1097900000000000
0xa2e3c8fbcc42cf5e837c71548af80a05de8d99ea50e5ecaf3fc628c6608be50b,13,19000097,164072,21956534911,18956534911,492216000000000
0x372a6ad0b5a8344e078082883ca8bda8dfc83ec198abc7c12a04e6a137937c9b,14,19000097,162400,21956534911,18956534911,487200000000000
0x5da81a35308788d6d2b32e0d43c8b64f856b443f9b3835801d846287ae11b14b,15,19000097,254907,19956534911,18956534911,254907000000000
0x23a7eca66882cbe85cafc5b0ce8dc94bb1c5b2a4c4d552c3481aa2b600c8ec49,16,19000097,145497,19046544912,18956534911,13096185115497
0x02e0f914d134f294f8264b9390b4cd84347ea038ddc0d930e3f52199fc4314fd,17,19000097,197696,19006534911,18956534911,9884800000000
0xa63a4145294e7d7896d978a2218857cabea4408fe35c6fab25ecddcabb70859a,18,19000097,48332,19056534911,18956534911,4833200000000
0xb3d757acb8eb99ff14c335298d7106e6c301cd34cc476312bfb9d081a35a8a71,19,19000097,46604,68956534911,18956534911,2330200000000000
0x310bc3576f38ed9a67b43ae26b5f96b82cfd33b9d9acec882c0c774a6ec5d152,20,19000097,63209,39169879942,18956534911,1277665326064479
0x595259b61add519675f8aabd283888566650454b83b041c3d7c22bf7135df3b0,21,19000097,46605,27000000000,18956534911,374865690472845
0x000000006bf55897ed74cf0dd0e3122fb8427dadd4804b282b57260d731ad3a8,22,19000097,22824,23956534911,18956534911,114120000000000
0xb22e353e0836f17c2d0cf12dcf0fce2ee1b7076a6f292abd4eb58f33a0419274,23,19000097,51438,23000000000,18956534911,207987757247982
0xd396aea89b1cfa0def374b645403b0c397d1ed726b29376bc9e2ffb907623344,24,19000097,51438,23000000000,18956534911,207987757247982
