transaction_hash,transaction_index,block_number,gas_used,effective_gas_price,base_fee_per_gas,earn_txn_fee
0xc9531c40c318629ce8031d1c99e5aaea8ea13e00692397dc1349721dd6537697,0,19000054,305726,16083085769,16083085769,0
0xffa6c985c67b7427e86bdbec8800b9d7955bb38feecaaa1a1984a1c25badc883,1,19000054,157031,21600000000,16083085769,866326558608161
0x2a4de3b39a6b80891197698ad1da4013fda2c3c240cec979ba63632742672297,2,19000054,178350,16183085769,16083085769,17835000000000
0x7b28193bbe3d19b2701ca11515fe7524fee5808c800d7899212cc3c72183e94d,3,19000054,174825,16383085769,16083085769,52447500000000
0xc0c657d3375cf8776441ffd53209acb112db4fc39c99ce6529f4ec3af3cf7039,4,19000054,167811,16182085769,16083085769,16613289000000
0x63162923e5a56dc3d4761df3fcda7489cf5275efb4c44d5bc011b496569d7ab8,5,19000054,233770,51793583224,16083085769,8348042990055350
0xd3c7d5e98fb53b6df351b8b138ea2c1145a5f8c06671affd81a1160e8ef0273e,6,19000054,21000,20000000000,16083085769,82255198851000
0x5ba2e88513acb05950ed0ea9bee5fa43036f4d9b020a825febf2c48ac196dd35,7,19000054,74622,20000000000,16083085769,292287973745682
0x2c8adf17edb69cc839e2eec62be6579de86dfb01504df41cb8ce57ea19e54892,8,19000054,55527,20000000000,16083085769,217494496504737
0x106651bb2ee7f37ff8a890a2d849efc39004dc471cfdd57d537932fa13d97f3f,9,19000054,139620,51083085769,16083085769,4886700000000000
0xc2790db23e60a87e61d4428db8e71b70dc97f0109a9f929f6eb53d0fd94ed2c0,10,19000054,174717,38083085769,16083085769,3843774000000000
0x4ac47b1d7732fea87105d93e9a79f84d934946550aeea0294cd552b28be7b843,11,19000054,122968,16083085769,16083085769,0
0x0e6652e59cd0bb772b0854ae297660f61a69832d702dd3a1ca4c69c1f82edf3e,12,19000054,161695,36083085769,16083085769,3233900000000000
0x3c1b105ef05e42bc782f1bdf6c17a5b16acf4d8745001b69c1287f902651d774,13,19000054,165095,31083085769,16083085769,2476425000000000
0xfd596490315b9fd5b0ee20ebff0cba68ace4f31faf6d8c83c2d7028e30a45937,14,19000054,166535,31083085769,16083085769,2498025000000000
0x10e38013aff033460be16cb9585b499b55e412739225470319f1716cc3ea23d0,15,19000054,96185,26764913865,16083085769,1027431635413760
0x86a6ed32b348f4da4bad9c32c93fa08f8a272385be2585756e3deadb5d9c5a4a,16,19000054,159043,18990738685,16083085769,462441842719388
0x50e376ee294030082018029c7170395321e6c60f16ec9d3bc3f7da2400910960,17,19000054,33274,35000000000,16083085769,629441404122294
0x65988d2375957578938b58b42909dc03fcb47928a6202800882a90d66244417c,18,19000054,21000,27871632755,16083085769,247559486706000
0xabd37df9c6bd4e2dfb8a8aa07ca659d1c30ed1efcdb92c4ae2fd83b7dcaa3275,19,19000054,29119,26083085769,16083085769,291190000000000
0xc51244af6bf5fda0b2540b64a89bbedf9d62f0c8400e45258cc2767fb64a213e,20,19000054,62248,25000000000,16083085769,555060077051288
0x014f24d5d9ca49cc1f52a284637c8c0224a55fa5c5d4010534f463c19a83e469,21,19000054,63209,25000000000,16083085769,563629231627279
0xf5a01b8612d809f3fb27d234570406325db5a7680bb850717c567febfd825fb3,22,19000054,54286,25000000000,16083085769,484063605944066
0x759fdbf343b3116bf881ec862ae87c5e8f8f0378685a51cdb6fc7115ff83a3c4,23,19000054,46109,25000000000,16083085769,411149998277179
0xde53f549e44e07909d37ebf1afeb968eac257572107d97d82137b2eae3bc64e2,24,19000054,51438,25000000000,16083085769,458668234214178
0xd59e491bb3f4361df78532678714c53ced38e7d135f6511a712f6367b1cc0f98,25,19000054,51438,25000000000,16083085769,458668234214178
0xb466bcc0787ccbc45c98a13fa4b9554087ca878b59efefe8bcba22ce51e1a42f,26,19000054,51470,25000000000,16083085769,458953575469570
0x7fd3aa3f76c52faee65d1c6163bca12b9970dba422709eb01e72fee2ca8b99b0,27,19000054,63197,25000000000,16083085769,563522228656507
0x3917026f207b52d753201dfd8731abc0b72138c46a37b62cef353535cd0fb4d1,28,19000054,21000,25000000000,16083085769,187255198851000
0x475f6c456ec8a1f268eec26d5a435349e4982b1fb821bfebc5472d29b3b55815,29,19000054,21000,24232719777,16083085769,171142314168000
0x123777571298ac42784ee0bfee0d94c8dbd8a79fd6f52d419f88aa6ec8893585,30,19000054,57460,22819797061,16083085769,387091430838320
0x61f8dc5a636ab77516f7ea47f846c392bb2177adcdaee01b86ca7370f70dd74e,31,19000054,32349,22141748505,16083085769,195991680846864
0x33f6aaa224fc583ff45d11c6d16a10fb9afeccda930cd814d2fcdb67deb9858c,32,19000054,21512,21516798228,16083085769,116890022418008
0x00000000d99dcae7e6232d138ae81d9c774df6c75c6374aab49db0c51ef76e4b,33,19000054,22824,21083085769,16083085769,114120000000000
0x4b117e01fa1d0845a40bfcfec31162c6320c22bdda4086da48cd5f6295997cdc,34,19000054,21000,21000000000,16083085769,103255198851000
0x55c47eedcbc4eaad7f86651aa5bc16987f7000d764a2c31307802c7aa3e68996,35,19000054,21000,20952759588,16083085769,102263150199000
0x4bf273e1262242d4d8c051b528f4e77f333700d2d6f3808b520154bd21d57776,36,19000054,21000,20604917455,16083085769,94958465406000
0xc4021aba53fd7d59396c5054ba11dc29d5e5954a314844ce2c2df98d93f04ac5,37,19000054,21000,20604917455,16083085769,94958465406000
0x794c65e6007b94bd15583d7edab1379121312d6bd3b128b522f612532f8c3641,38,19000054,21000,20568098206,16083085769,94185261177000
0x2258d6291da3c259641ad07cf0bd6479fcfae227b47586decca0bc1318689972,39,19000054,48759,20201456629,16083085769,200807644762740
0xe29f53ff892a0a4d5a08d7fe974633d8c794e10eb048bea49b5b98d1107fc5c8,40,19000054,63209,19951337264,16083085769,244508308747455
0x22be949ea39a4401fb60802c31652870a1392e9d07d61474f57b63859f15380a,41,19000054,21000,19283217068,16083085769,67202757279000
0xe142048b65ee88d1c4dd1e698818f8d6b545d109d5ce9e38dcac4439b626fe18,42,19000054,21000,19085085769,16083085769,63042000000000
0xe42adac52d3e18b362335370510a5169312d54113d76700fd2602e440160de94,43,19000054,46109,19085085769,16083085769,138419218000000
0x6a2ed8b6a470882d97bbb6f58af060f2d802fcf06ada781b96cf29908dad6d5c,44,19000054,21000,19070874252,16083085769,62743558143000
0xb71c88ffe65f3c2f525a47a98b1f0dbcae3590fa2e0721be840491f12c2e6d70,45,19000054,21000,18926085769,16083085769,59703000000000
0x3add93743c5e15443f67002521f5b1be51189b47fb728d9213169136c7e38c73,46,19000054,21000,18926085769,16083085769,59703000000000
0xbae246193856877ad8ccbff6b4eaefbff4a6c084949ae4295cf6277472ebe038,47,19000054,51894,18889674334,16083085769,145645106992110
0xc074a5d813e87536811e85515372f50271502e709603d0e4dc395bab855bba0a,48,19000054,21000,18889674334,16083085769,58938359865000
0xc97de47c94396a6f075434efa15069572f50b9e7d19adf38ee8ad6055b26fd34,49,19000054,21000,18889674334,16083085769,58938359865000
0xb1fc7cc7bf1799bb0b6c7848f3a1650b8f5ea28d763e563993dcacbf72bdf3f7,50,19000054,46097,18889674334,16083085769,129375313080805
0x01301e594304e736492bb8a5a7e16ead16f126d04e6ba9ead8b2b3cd8cf4411a,51,19000054,21000,18889674334,16083085769,58938359865000
0x621628f8fea1dc355b06db3f466ea12772d411a2f64faf54bb1c2723de1d48b2,52,19000054,139699,18730556902,16083085769,369849069808967
0xa23e71be9e3e0fc327f17aa613c640d4b65aa7e4ef07b73398a44e48b59094db,53,19000054,48561,18700000000,16083085769,127079971971591
0x2584feffc19fa7108c05c6e837cae905704d7337824afa628f93783fe77e9921,54,19000054,273107,18340654531,16083085769,616557831883534
0xb88cc0a28db5bc48d3e8d94222fb9908fd709cbdfe68e9f8d7e6f6629793392d,55,19000054,21000,18083085769,16083085769,42000000000000
0x0cd1ceb4db3c86470fcd81cf7bf0683732c8a66318f33ffd4ea1f94b1ca0b1ef,56,19000054,58891,18083085769,16083085769,117782000000000
0x3968cf6c8617d2a6991c32a806ded7c554552ec7bac5831140add1c6d2632bf6,57,19000054,21000,18083085769,16083085769,42000000000000
0x69d894f6b9adf40d9633e0ae1d6122408e021909a808d0a37c22272cc775d98d,58,19000054,21000,18083085769,16083085769,42000000000000
0xf73854a818cfff5a9af16945e03c8b31cf90902f8a9af99ba84a8ef348a0fc01,59,19000054,21000,18083085769,16083085769,42000000000000
0x8d156955ce6552508fcea6e8afc436ae39dffa70ba32d32df06fe0a770f6619c,60,19000054,21000,18083085769,16083085769,42000000000000
