transaction_hash,transaction_index,block_number,gas_used,effective_gas_price,base_fee_per_gas,earn_txn_fee
0x48f2c900eda3fbf77eb20614c579d25f526df2482049146be19355a45f217208,0,19000052,173525,67162431213,17162431213,8676250000000000
0xf7716ed8bbd807c2730483edb2e5e732dd945616d63c79d82ee698cc9ce99004,1,19000052,164072,58162431213,17162431213,6726952000000000
0xcdd0b78b451b36867a8753fc2bb8a83db658e68d019d592d546bf081455136ae,2,19000052,502372,17162431214,17162431213,502372
0x4776e341bbee94cd15733d16f54b3d1ef6cbae5e8929c442a9a16bcd056f38a3,3,19000052,149098,47162431213,17162431213,4472940000000000
0xa403f667ec8aed8a3e5a80e1abac205f04bfebfdf1f8d6570920c4995ae6fe78,4,19000052,117920,17162431213,17162431213,0
0xd38934734c07c8531e6ab83d48b70d0fe016f5754e0ad54361cfaae9c72c034b,5,19000052,149698,17262431213,17162431213,14969800000000
0xce100dbbfe1cca90d5234c7f576daaa1306529246f594c22b6e726831dbdf937,6,19000052,103636,50478164557,17162431213,3452709340838784
0x06680535f9ed5f0994355bd67bbc432ad569c0a845817c263b88862474a0e788,7,19000052,32292,38000000000,17162431213,672886771269804
0xc9dd63fb7c5ad27158a29b5c891a323904c0c8cda16328f888a313ce5751945f,8,19000052,156776,36591540170,17162431213,3046017985842632
0x2979d24f2c226ce0805ca3680770698c509c541057db4186a065616b03a89759,9,19000052,175499,32162431213,17162431213,2632485000000000
0xedf0f3ad5912770b4ac6c3be718d85ed332027f6f76d4ac19af8895ad94df9ed,10,19000052,165083,32162431213,17162431213,2476245000000000
0xb82e830b88f6804452b0c37c0dafad0890d8479ee57d24679817d691c2680096,11,19000052,100828,39308526073,17162431213,2232946452544080
0xcbd5cb853075ac75bf82d4f0fd9bd1f033a408d87a5b0f783fbccd0817f7f6d4,12,19000052,134662,32162431213,17162431213,2019930000000000
0x160f984e1c6317314b085efc2e09a4c1eb984770c470d5261043361bd2b062b5,13,19000052,121673,32694530404,17162431213,1889837104866543
0x43cb37b892816e3bc411c300d276d5e0770ccd76f9be6ab40021df6fce5b52ff,14,19000052,368014,22012932923,17162431213,1785052536303940
0xdcf5806b5907ebc301f56b5656d5d044b01949c8c2ebe92c6645805ae2a770bd,15,19000052,165083,25162431213,17162431213,1320664000000000
0xe3f2f1ce5f8dd4cadebe0aee41e16e7fb54e6f71dc4588eda8d6615aa69bd6ab,16,19000052,97391,29998555925,17162431213,1250123021826392
0xd9368cbf63efd6e39d33054df16002d2b8dd02221cacdc3f573f853c8f679400,17,19000052,113596,26639097577,17162431213,1076511392284944
0x753120977a420df4c5f0b1a96bc3e0d428dc1454de6af515315afaa29cb9c26e,18,19000052,111056,26004268000,17162431213,981939026217072
0xa665ce381a930496aff057a978f3d16bc68b50f89c2c46d582740cd8848bd072,19,19000052,299772,19176425844,17162431213,603739198524132
0xb4a33ad7ea873f684ad22aeeed533e16eba48dcdb1b03a36b5efe97a0f92eb98,20,19000052,189996,20070084129,17162431213,552442423428336
0x177cf2414525ec148876afebde674d1aadf3cd70ab6786774abf119977d0c4d3,21,19000052,362693,18662431213,17162431213,544039500000000
0xa696846f43c9398bcafb1c60f05b84f36d6a824ad9b1c1ed9f5326f6f236457a,22,19000052,188284,20024937822,17162431213,538964194368956
0xc1f8dc7f283b3c25d31da08287e0fd66d2f164c26454d9cef70c7257e0517d9d,23,19000052,240380,19136209547,17162431213,474456835926920
0x02a79693d7670f66df5c1222c10c1870f24448d2d88d6fc63dd3d1a743dd3065,24,19000052,157280,20070084129,17162431213,457315650628480
0x870c7d205e9d50946226d2162403101c16f5fc1b883ba17e3198d68dbd18dd29,25,19000052,119346,20162431213,17162431213,358038000000000
0x0af1e53555efdaa80f1025a273a6102462b05491f06f9abcd84f08019849dd81,26,19000052,158305,19419999975,17162431213,357384422868410
0x7840d04bd8eabad0792ad9364df46fd043477367ddf25155331fe755a86a17cf,27,19000052,113685,20024937822,17162431213,325424063844165
0x2712820e1616a0bd2993155d516db403097b15ce4490894060529d28cad59926,28,19000052,112315,20024937822,17162431213,321502429789835
0xe450c7162e4d8f20e6217c8313cf6ccfd7ead1ff48f839565b20e6f1ea7759cc,29,19000052,159776,18662431213,17162431213,239664000000000
0x72f21c486b2091e813641ab3bc37e03c065cb280b192b391181c1d2fb74c3d17,30,19000052,186906,17462431213,17162431213,56071800000000
0x4c9cd5095ccb74237cb330efab2c10c7939ceafd3309fee15560feb92415c27f,31,19000052,218062,17262431213,17162431213,21806200000000
0x65d7b23bcf36cb87539a0fefc47c2ab57282687cf23fad7b52ba8f1472ff56be,32,19000052,21000,18162431213,17162431213,21000000000000
0x07818f548f907569ddef6c61bd2d90c2f54e82c1cdbc0ae901046dd7315a9e00,33,19000052,135626,17262431213,17162431213,13562600000000
0x8d5be843122e26411c868754b20146bdacfecce1ddeb320fb91166747b18ca94,34,19000052,47175,17177881479,17162431213,728866298550
0x10e6fac0b88cf20e801162a323213701e4c5f2c9e7f6122df444b94fc484495b,35,19000052,232565,17177881479,17162431213,3593191112290
0x1ba7b89cbdcd6a161a5849696028370783f778fd49620989d9f8c7e29eb280e5,36,19000052,21000,17262431213,17162431213,2100000000000
0xe19f93856d8b5f7c0b97c3575f07f712caefbbad84e588c2f1f36b0531307efc,37,19000052,46109,19162431213,17162431213,92218000000000
0x573e9f43d88e8016c93372fc5a33afb8b314e63318be275375f080a836a1e87b,38,19000052,21000,90000000000,17162431213,1529588944527000
0x52040ab1aebc8fd8e62014708c82e1045e5c8f6231686896f8142612703b647e,39,19000052,21000,19162431213,17162431213,42000000000000
0x734ebd98bf32444d63867a406e33f63001c804c29faf3f90e270ad06d14cc38f,40,19000052,63197,19162431213,17162431213,126394000000000
0x2c84ceef26165179f773b48d5bfbf4293802fc138e3ddacdb57fd766dcc3aa0d,41,19000052,21000,20294469765,17162431213,65772809592000
0xe76eb1858259fda3a879dd78fdc0806587007513140254764dc64a9e503ad56b,42,19000052,21000,18662431213,17162431213,31500000000000
0xaa5e91b0f6bfb19bf07e934cbba4566d9278e539aebbfd9bf2a947e61b34bd72,43,19000052,189173,18262431213,17162431213,208090300000000
0x2719ae11fe25620ffd5a555bd3f27dcc4866c0957cc7983aa2929d8556059d2b,44,19000052,47255,32162431213,17162431213,708825000000000
0xa8b869b028a0aa6bf9a8ac0aafb122ce12bbcdb4462b2bc3a6a418e35c560e81,45,19000052,21000,27877961448,17162431213,225026134935000
0x476b71f53214253037db12f82dcce025786cd50276279e084107f219113bf545,46,19000052,80000,26094831201,17162431213,714591999040000
0x994422c548157af992cc5358a7d7876eabc8f8b3c3608e286b8484b42d03250d,47,19000052,75387,19662431213,17162431213,188467500000000
0x2b27540e826af5c300c2704076f2f889b284dfb64e5fd81aca2c23666f96d4ea,48,19000052,51450,25000000000,17162431213,403242914091150
0x7d8405a5688d377f4a0e261322980356fce9f6be6c5c523c1c91c5c14d8c9b34,49,19000052,51450,25000000000,17162431213,403242914091150
0x6d5b76cecce05669386afd8ba2609165b1241975ab0fd6947b39b03db96f057e,50,19000052,21000,25000000000,17162431213,164588944527000
