transaction_hash,transaction_index,block_number,gas_used,effective_gas_price,base_fee_per_gas,earn_txn_fee
0xf895080d47bd6a440ab5b0ad10641980533e7c02152038b20636ec4042f2e444,0,19000074,179352,73175717687,18175717687,9864360000000000
0xde602dbdec8bef781d741162db2929795056c6a53b67eecf27372ef75c5a2dbc,1,19000074,103159,24260531028,18175717687,627703259444219
0x56710439c16514031dc4c7f9b8082d1155d0ac64cb3015809867db688aa258e2,2,19000074,165293,18175717687,18175717687,0
0xbe70f00b1e2464731e6e5c94c86e14469e05ee9649955bc3f7b880292beb419b,3,19000074,21000,322028617687,18175717687,6380910900000000
0xf1517c9b068a431cb43b8c7377acf9640f3659b845f6125594438b723a0e473b,4,19000074,46577,41751729920,18175717687,1098099921776441
0x6724e73f984aeaf91562e21fb3608f99d269884d87d73fe10b922c6500b53d57,5,19000074,144352,41751729920,18175717687,3403244517858016
0x6fa94794bde33bef49cbd5c47dea876b1326b4a4272a350a79ae6e3c39423f1c,6,19000074,38492,41751729920,18175717687,907487862872636
0xa58df39018033d5924b10a51d42442e8ff3256739c616d617fa9c5f0ccacaf12,7,19000074,204882,18175717687,18175717687,0
0x90ab272215451f1657182988348b819ea4410c88b84a00a36551f8e0fc5b82ef,8,19000074,47188,18185717687,18175717687,471880000000
0x5cbe9ae418268512d570013a804e2049e7632ef34d277996839f1832acac2667,9,19000074,167426,43175717687,18175717687,4185650000000000
0x9fb274d3a11edec2b597cc37eabf5ce6bcdb3203a7ca1b1df7146e02d39bb658,10,19000074,203025,38175717687,18175717687,4060500000000000
0x00164e0f5ea09335f0e1f6382eb8756f3268e3dde568bf5b41912f2626b22881,11,19000074,157010,43175717687,18175717687,3925250000000000
0x85b6e91d9a94e5243a6296902e79733b846235c9e78a7f865437205435c16fc6,12,19000074,157010,43175717687,18175717687,3925250000000000
0x97aa13387c9ceb2475fb75099361f15a3e0be031ee008996851e4c19df97b87d,13,19000074,192609,38175717687,18175717687,3852180000000000
0xef034f43d7c2dc4b6f1392133c88269df9c1b8a10956efd85d8633e3e7a8586f,14,19000074,190016,38175717687,18175717687,3800320000000000
0xbbc9351215dcf7806e084526d8d8de0a4c9f321149c911d9dc675b63507527ef,15,19000074,167421,34175717687,18175717687,2678736000000000
0x289a3fa9f694b63c04525d23f9678c306a493ee84a0c495b030d8a59cec64510,16,19000074,170492,18175717688,18175717687,170492
0x75ba6675c21f65db3656a8ab2ec63fa54fe034e1f73a29a9d833bd896800f735,17,19000074,196567,18185717687,18175717687,1965670000000
0x529132e23666f4b27f9cd335642d6b9ad059214fe403c5cdd1829cbe132fecb8,18,19000074,109758,18675717687,18175717687,54879000000000
0x854f60d38efcf2dc75f7c63b1d55d4f3c717ba1b3680069b677c66a58ac14c94,19,19000074,148060,31371205588,18175717687,1953723938622060
0x84f2d9af2bf4346541043ef923b5691e7bb7f9c8fc18ee0d33de813c7f1b6861,20,19000074,180364,28175717687,18175717687,1803640000000000
0xe2978363a590cda203beb7a47055c931e72775f65e81dbe9e37cdd579afcb152,21,19000074,168729,28175717687,18175717687,1687290000000000
0x84147e6f8c332c5d8cf0ab4a51075f17221e39b3c1f2a611b98f94113444c726,22,19000074,398092,21912637233,18175717687,1487637775906232
0xcf27a0a47c41dbf3d45ae77ad62bb5d3d02c25b5353ad6684b8696e2e3ec90fc,23,19000074,256051,22919593342,18175717687,1214674105338405
0x60e51ee92d487759b910feea66dbc60b26e2300e55f7ff73160eabb6bb334bd7,24,19000074,157010,23175717687,18175717687,785050000000000
0xc51ae9b8f5183c6cc3f71dca83db220b74114fa875d8aace7ec72b5a2d69c4b0,25,19000074,157010,23175717687,18175717687,785050000000000
0xeb9022561d7d4150ecd91056dc94bc2af426e3d9711981583036858fc08f3c71,26,19000074,157010,23175717687,18175717687,785050000000000
0x5ac7ac05a13694bf0b473f75272d9d4bbcf1d4f359f8bcf060f9e74e7a2759c8,27,19000074,157010,23175717687,18175717687,785050000000000
0xb7e1281dc8af3310c8e14735df7e53e4fd6c12a0891d44679a053c2150f4c29c,28,19000074,46097,32000000000,18175717687,637257941782361
0xbbfa1c4292e5ba1995ce4b5e454dfe32f83478a262f1830403e1b769299e9052,29,19000074,77644,25000000000,18175717687,529864575910572
0x32012be1976a11d057c3268cefcebcbc4e36ca28cd5e49b3b0a6e443ce8fa8b4,30,19000074,202175,20175717687,18175717687,404350000000000
0x72edcf0ef4d4d108c4fb57a520fb27574a56f1d859ba3e75b400a3bd790a0143,31,19000074,102461,21625717687,18175717687,353490450000000
0x1f091da6320bc6ead8e39364efd4e1691fa590edcd2d6be48541ef2e0ea92762,32,19000074,42646,26175717687,18175717687,341168000000000
0x89f4e2adb4b4999827e78389b40cac90fcddd59ff15fc19421da56fff35ef94e,33,19000074,210434,19675717687,18175717687,315651000000000
0xf6d44e5580fba8b61de3c2ec316046222445d7b48a89c2d072c323de89ddad50,34,19000074,21000,32000000000,18175717687,290309928573000
0xaf32557186c9ea50fc1667b08de4eb4451bfb67c999436c0bbd310ae9d39e8ea,35,19000074,21000,30000000000,18175717687,248309928573000
