transaction_hash,transaction_index,block_number,gas_used,effective_gas_price,base_fee_per_gas,earn_txn_fee
0x651630e675be8863576a76c6e30a77fd35560ac240d443c25298c592d9f6eb76,0,19000062,167438,93176781778,16176781778,12892726000000000
0x4318abbf6e65682a90924a18a4031578c57457329ad61676d8d30131a5f585c3,1,19000062,167123,91176781778,16176781778,12534225000000000
0x3d7da20997d16e4593e11e5d9572d33fe54005d34c8e5e7d2abd86b79f2c174b,2,19000062,424037,16176781778,16176781778,0
0xfd44642f0f871c60e229c73330e3a92fc76afd299ee68d93e083a4a9528c9bcd,3,19000062,126014,16276781778,16176781778,12601400000000
0x638bd7d38e416fcd8c2f759baf2169326838a71e3790c3b0108c4807e150c3da,4,19000062,174321,16226781778,16176781778,8716050000000
0xa766d0a9615a8d8129fb87800d675dcff29e93269a8f3e7d620b5d804dce2943,5,19000062,149503,22176781778,16176781778,897018000000000
0x96a53daa42067d1313d07edaa07bf8b92c0ac7517b2f31c107cd958623266942,6,19000062,172833,57882710374,16176781778,7208160757032468
0x6fcef2d5a8c5f4941e2533c1c4178348f9e0dd88006d88af67eb8d5c0c27abfe,7,19000062,177263,31176781778,16176781778,2658945000000000
0x5df99b22744a4e8bc4c933c24e7e23383c23bb329cc249efed24ff75eefecdd3,8,19000062,101751,40497731693,16176781778,2474680974801165
0xdbdc9465104f74fba7304a5592f35200bd061dd600eab12bb18e1b9f3ca02ce5,9,19000062,905933,18176781778,16176781778,1811866000000000
0x2a10202131af75f2a7b5cdf3ce1776089db2309973db3e7fc7531491c66f6068,10,19000062,59372,31114923756,16176781778,886907365517816
0xad23abf35ba56e9a238ed582c230de1194d772cf27b2badb2b1d17bc3f9a90ad,11,19000062,660944,17176781778,16176781778,660944000000000
0x86a1ed927c88a840df18baa14d1e11a6f1fe8da0d997ca0bb431532201ebf8d4,12,19000062,193964,19176781778,16176781778,581892000000000
0x3257530c7982125d75a1f52687518d051338e8a430736e5f3de963806a344f05,13,19000062,130948,19046402678,16176781778,375771117613200
0xb13f53f004bb3499164feb3a380ce5fb8824d470fc93de8fbd6bfc12a920bbcc,14,19000062,63197,21516280852,16176781778,337440322979578
0x16756a6bd43305539ef97c45cf395603fd9db2e29bd2070a00095147cda03368,15,19000062,124732,18177781778,16176781778,249588732000000
0x147ee35e82be226abea6356b072bc09ad6191bd5a0c37085e42128ff871b8ce5,16,19000062,47255,21176781778,16176781778,236275000000000
0xf31a719f17d15dc607755be2d4322eacc5ee094817079af611dc3d5d01116b71,17,19000062,46097,20670500926,16176781778,207146971565356
0xbb723ff8037046ae96c750ce5c8d59544da6b65b734675967e2b2903c90cc7dd,18,19000062,204097,17176781778,16176781778,204097000000000
0x9d038f8f21e23b5ac0176455120b12f6fec7c76d638d71a7705d24f77b2aff4d,19,19000062,51438,20000000000,16176781778,196658698903236
