transaction_hash,transaction_index,block_number,gas_used,effective_gas_price,base_fee_per_gas,earn_txn_fee
0xcf169dadedeea18aeb785278120b9bd18e1ae88f3fcd898ef4008d9465963f2c,0,19000079,217315,73721570440,17721570440,12169640000000000
0xb7a0bb942d2aaff71ceb5fc76dbd86da73866383ccd3514f1ec9416926834e88,1,19000079,206803,67721570440,17721570440,10340150000000000
0x339c6f60caf9c8c86212b850efd2fe7f7a785bd6e99a74a6757a766c1ebc8265,2,19000079,182345,18721570440,17721570440,182345000000000
0x905ff3593bb55e285b5809853c840b82cba5e04e82c7eb4d9b4e654f2cd94882,3,19000079,109465,93110075582,17721570440,8252402715369030
0x18615100175bb3e3f59e25530af682d952690112bd465814101e756157d5fefb,4,19000079,209702,40721612509,17721570440,4823154821953438
0x547cc34234801f75bc2534ef0fbfe3d7e3a0dc13995a2efd9aa7fdb44b6e6604,5,19000079,175499,32721570440,17721570440,2632485000000000
0xc7c4edf927f62296ef5247f1ac72c6200b42bff3b7441d242773e18cdb7cf833,6,19000079,243620,25721570440,17721570440,1948960000000000
0x308c5648f4b1eaf2a8a7980f4ddddb51f051d966c5251f7423590cc5eb0a342f,7,19000079,167426,22721570440,17721570440,837130000000000
0x2f56fe711ef135572b2906dd606a4d29ddcf6d86fb5c8dbc4d8afdc274948c3d,8,19000079,298407,20221570440,17721570440,746017500000000
0xa968e730e9c64ae86b5a01d19180382af4c90f72b931df07ac08e94123d5e79e,9,19000079,95063,25539997053,17721570440,743243089111619
0x126f5a3be8a72d8a70292db9c15d88dc9f00c5c7f44f685843789d4addf0a125,10,19000079,245278,20721570440,17721570440,735834000000000
0x969b2a0a9066a1d4f90d77b55e824b755d94001651bf302b9dbea3412c16b67e,11,19000079,245288,20721570440,17721570440,735864000000000
0x56d119214b874b08471e54fb5d998f0027b4a82cb48369a3f6c4e8d9cd9272f4,12,19000079,96318,17721570440,17721570440,0
0x8d13afcf5a84ec426051a93568301078038524c9646b7948ff3a540909f45763,13,19000079,367258,17771570440,17721570440,18362900000000
0x9773b7fa4e82b199d8934a94beaac5fdc1671aa17079f69aac96c633bfe9222a,14,19000079,90396,25240669694,17721570440,679696496164584
0xe89d68109b731caa083865b933880eae16ffcabcf772a8268209c1dec120a7b0,15,19000079,189722,17721570440,17721570440,0
0xd934f1d5246006ef7842393144a2420b40a3b136fc90a6dcd4eff4b460f8ba5a,16,19000079,167231,20721612509,17721570440,501700035240939
0xd662509c6718cf442b2f320a46cee8ea40d8f77d3952095feb7600bd03b71d59,17,19000079,118443,20296813542,17721570440,305019518730186
0x4a10ea165be85331d710ed308739c8309e0472850448f243264c66a3d6c013c8,18,19000079,42862,38021570440,17721570440,870098600000000
