transaction_hash,transaction_index,block_number,gas_used,effective_gas_price,base_fee_per_gas,earn_txn_fee
0x6f6903da65fe0a86a01d1e1b85430c1c01bfaaa56a914637af869f31d995ef80,0,19000030,29940,26000000000,17666373190,249508786691400
0x1063861b236f3fa875e99cd1d851cb8a9762b04d46af61aac89de34c2610c4d7,1,19000030,46612,22666373190,17666373190,233060000000000
0x00000000815c57ceb3cd4a5da4f9a578d948c1f60297118e019abf1f2a48edfb,2,19000030,22744,21945318450,17666373190,97320330993440
0x6f27b842b63a8f977be49c5c13dc3f0a5c22397c05cd84462050498c81438486,3,19000030,55234,20903487808,17666373190,178798788810612
0x059b28d6d47e670c0a0f929c4fe166dbadd45c15097a64ca1bfe6b132804e708,4,19000030,21000,19635155197,17666373190,41344422147000
0xb904f25a6c233faa47a378c27460b7ac3d78040f8b59c0f48de4acd0c24bd4b1,5,19000030,58409,19635155197,17666373190,114994588246863
0xf80679d8181eeab890bfebc102dda0e292dc9e73aaa34e4b5ebffb289daa5446,6,19000030,21000,19000000000,17666373190,28006163010000
0xbb838f1cc0834d257fcf0535ec38a3b0ec102b8502d6d425835096e289a509c1,7,19000030,21000,18001800000,17666373190,7043963010000
0x4d8538e4eea63ce07429d2df4d010c36660baddfd6268d81a1f78e5976b314d4,8,19000030,249094,18000725597,17666373190,83285178469258
0x7a6d25b0608fd8fa2f0ad0149dffc1c97501fac67327fcd3fdf2b8d9619d2728,9,19000030,240752,18000725597,17666373190,80496010690064
0xf9db0ce0d48e49948c2ca85514e5da2ca99996c74cbf56c49611a4b19c67c3bc,10,19000030,21000,18000000000,17666373190,7006163010000
0x5ffc852629da905f460a79583bc0e49fae7a114331d685016e105e5cf50c269d,11,19000030,29652,19866373190,17666373190,65234400000000
0x18a941e136567add3812ade98e1e76d4eb4c923eca52416465e4b00ac3fbab41,12,19000030,21000,19667373190,17666373190,42021000000000
0xa26124570656f1c39a2debc06d75f0e78b9dfe4423174099c71e05cacfc528ab,13,19000030,46109,19667373190,17666373190,92264109000000
0x3eb092083d4a12d20d1941c7792785770731f796e3989611b3ea8e7defdc1a26,14,19000030,63197,19667373190,17666373190,126457197000000
0x8f89c1ea8a25cce92aa9aabc1c8700cb646ea33ddb83024d73c62e401c6d9c28,15,19000030,21000,19666373190,17666373190,42000000000000
0x86b2d819882c9b267d6e679eaf2a2a2492864571ab4ebe0aa08083963e0f8284,16,19000030,46109,19666373190,17666373190,92218000000000
0x6aaa78c129ee637aa196d08de508b496f7c90013c2c1632a0b92bfc6d3185880,17,19000030,21000,19666373190,17666373190,42000000000000
0x4b4e8d4e20805f34fb236090d959379abb697f2785bf11bc92b959401f2a778b,18,19000030,53873,19666373190,17666373190,107746000000000
0x9ea7043aed348b45e1cdee89c33680e2abe95482569edf9f398134fcf721b6c6,19,19000030,62248,19666373190,17666373190,124496000000000
0x01f049a66b9a59c1edba8960e8661ba92d3eb5b8cbb625baba474a8f2bf321dd,20,19000030,48570,19166373190,17666373190,72855000000000
0x23a646641aa6afb1b9f71144d55f0cd42282e1966f0cdedd7663275fe570891e,21,19000030,127286,19166373190,17666373190,190929000000000
0xdb67274c2b7a6a4a6cef403115b0cb6e30987d4dd9d253928c6f5dfb77d92389,22,19000030,104613,19166373190,17666373190,156919500000000
0x07824ef64b1547a6414f655cfa790bca4fe9d31b9de86283377f2fbfdb8a8d2f,23,19000030,21000,18666373190,17666373190,21000000000000
0x3904e91653971bf579493e3a4828eba1420bea3bcddd2f398a5849207da1ae9b,24,19000030,21000,18666373190,17666373190,21000000000000
