transaction_hash,transaction_index,block_number,gas_used,effective_gas_price,base_fee_per_gas,earn_txn_fee
0x3ca475d811751e8df771a462ea9575e4d7a20c8075c64292ee045c45b04c8a93,0,19000056,312067,16423870215,16423870215,0
0x3db0385d645c964d245602e9334e870cd1281bbff60a9b250731d26c2926936a,1,19000056,346967,16523870215,16423870215,34696700000000
0xf9549dae62543f3f5444992f415f7bcf662c35d331564796aa5a9cb03e7d3ed5,2,19000056,146104,88336546812,16423870215,10506729701528088
0x06498038ed6d036cfdaa5b35bad792faaccace0197e41407add0355835ef8fbc,3,19000056,1134301,16423870216,16423870215,1134301
0xd366df3150c9394a11f7224d1510cf70fb78d1b25a99760f95b25ce62a499647,4,19000056,165460,51423870215,16423870215,5791100000000000
0x14de974bf962256f1d681745eec3b3540ad6d881bec3071afd5dcb3e5dacbdf8,5,19000056,109876,16423870215,16423870215,0
0xcbb00a4732e5b5f6fe1e1ced856d27f9ade6a7b0dafba458c2497cdbe415ea72,6,19000056,112253,16423870215,16423870215,0
0xae2f42a53ed466a2781d16d0a9ace02bff902e7309714088f25c29dae98332d3,7,19000056,123842,30018573723,16423870215,1683595271837736
0xc573a0a2c2c4ca0db8931e42dca4abe4f425d404323ecfbb441b05e5fbe5a38a,8,19000056,141576,24192147398,16423870215,1099801610460408
0xe92c7618846d6e47101cf09ff57fe4ab5f92e63174240b8e013b534e834e9cc8,9,19000056,159984,20104804061,16423870215,588890520418464
0x88c12ff4c7a33205fe5142f76b8b3c624b7fd66acdcdb7f881fdf74d68dc2cc7,10,19000056,167220,19423870215,16423870215,501660000000000
0x66f83e3ed5a3849f6dc4c2f3974f82732b8b7afc9fd6e934686fb4296beec932,11,19000056,482050,17404381781,16423870215,472655600390300
0xbdf2c7184d36b862d4ca0faedee466d1d141799dc17df3509e9f253af9cef4e8,12,19000056,231454,18444625137,16423870215,467711809716588
0x2e0325b1115d25b0ad13aea212dd941d2f01c3f7affa091ff2331ec12b0d41da,13,19000056,110972,18644885623,16423870215,246470521856576
0x05d2eaf9ac9535c20a35e625193d15740d088e47092606e18410c9fb9e6767ae,14,19000056,199500,16556809250,16423870215,26521337482500
0xdbaed7722911b5e4448bf5c3ec771b1f92efb446376c5eb955a6b5eab971218e,15,19000056,51438,26423870215,16423870215,514380000000000
0x2fba2812fac2a1cd56bd7c40ab7053ce6b42bb970f40783b3d99d229f6dc5cc6,16,19000056,51438,26423870215,16423870215,514380000000000
0x9b2be6687d261f538a4148629bbccf417a9d07f12d375d6d9bfe738b0d22df4e,17,19000056,51438,26423870215,16423870215,514380000000000
0xd538ccbde6ede1e1f15f32dda2e19d146938eadf2c7508a70ab3d0b89515d07f,18,19000056,51438,26423870215,16423870215,514380000000000
0xec305355cd3e5e7c15ac8d58ba2c35ee9d2b88ff6694ae06672d4983d665cae1,19,19000056,46084,26423870215,16423870215,460840000000000
0x990ea38535cd2f66afddf9fc1779314066f862ed591c3925ab5fc60dfaafd65b,20,19000056,21000,24000000000,16423870215,159098725485000
0xb3a843e7a7d8baae0703760d0df160b4048c15f607f65e36b581f8af57f681c9,21,19000056,40360,24000000000,16423870215,305772598122600
0x371ccfe1a082f09412e569f223eff75e143bf0013f26013d42ca0ed3c6956759,22,19000056,173174,22511702922,16423870215,1054254341202018
0xe1b74dd1122f5be676adfcbda7a8e75f260c7907597624f3d5d547bbf61c180f,23,19000056,209788,22511702922,16423870215,1277154247936116
0x599fc16788181afd6ed5de263f0ca1444b10d21b325083c3e81f44d500e03ded,24,19000056,47188,21423870215,16423870215,235940000000000
0x611f95de04135498a88b3058b1a542d4b7cd68ca7c4f625a741c2ed67bdf27b9,25,19000056,47255,21423870215,16423870215,236275000000000
0xfd62e26793a5204e784d4090ea66021db99f22cd5167702d2af7ca2799ee65ea,26,19000056,46577,21423870215,16423870215,232885000000000
0x1a5f231a53066a5175bde2fa77fa37a3bc6f6bd0704589adbb813331a27e164c,27,19000056,65290,20400000000,16423870215,259601513662650
0x2d3cd49fdb722ca4a2bee423477bb9359e64db5c92af1d3d2bfd74a36003ba60,28,19000056,51438,20000000000,16423870215,183948963880830
