transaction_hash,transaction_index,block_number,gas_used,effective_gas_price,base_fee_per_gas,earn_txn_fee
0xc97fcc74b218ccf3e939f785b0dac2cbd6feceff9ce3c6d05acd8387d7d1eaf9,0,19000099,194553,79042037153,19042037153,11673180000000000
0xbe76f82326218e6533ccda7ce3d301fe19c74a2af8069518d4047a8447e1414b,1,19000099,179011,49042037153,19042037153,5370330000000000
0xc6fc961c187037de8031018b36b8f9873bf38ef2dc1466a22cec7eb52c353176,2,19000099,212560,39042037153,19042037153,4251200000000000
0xa2740a1861b2690ee152b5e5a7e60f4e1028e27459179e47a2bc57b6d4fc276f,3,19000099,247999,19042037153,19042037153,0
0x7b669ba1b016ca12d6249d20d9595bcc2c6a3cf44ca17dfbda00b198a2989e39,4,19000099,208939,19142037153,19042037153,20893900000000
0xde41e81aebbdf7ef306c4384e88ad7a4694ab7c9a6b4a75dea734a98de42e7d5,5,19000099,75349,50693306783,19042037153,2384891515350870
0x18408c53b8e2d9ec075cb023b25820993e829771dbe88d7a51e7762e6c801b8f,6,19000099,150205,34042037153,19042037153,2253075000000000
0x7a428388eec412d5a3aff08b05b62611d0e4f772e973cffb70e58e3f485b2cfd,7,19000099,191528,29042037153,19042037153,1915280000000000
0x343f124395c3abcfb602bf93811c5a6e5ab6d268a7fcbf9e030f7b4687ef6d77,8,19000099,164174,29042037153,19042037153,1641740000000000
0x6e02c988111827224e471ba5549261a5289f9d47211b5b267edb658ab20f1db4,9,19000099,441802,21033071751,19042037153,879643067465596
0x04686cfebde4d8f1c4581975b5444396a048eda80026868fe8b156add014876c,10,19000099,46544,22235211883,19042037153,148623124633120
0xa3aa8a19403b58eafb90026e471b98944a53ba9026568dee2a4c3be66117c6df,11,19000099,197401,22235211883,19042037153,630335884876730
0xc4ad36c0b4dc4bc5a15fe2edb070870f27fe9b92eab0debfe8d7185042008841,12,19000099,260558,19052037152,19042037153,2605579739442
0xf6484e9ee7b1d388d3f767bc9b72da7391af2d4fe96430f62906bfec42f11b6b,13,19000099,46604,69042037153,19042037153,2330200000000000
0x010dacc834fd516ac96519da41bf8fb82c041c862e01ba9330d713bb82aa8abb,14,19000099,38574,33829780099,19042037153,570422396399004
0x306bcc1be7aa417730390aa5098a0638eecda639db7936e63bb100b76736a36f,15,19000099,21000,32968000000,19042037153,292445219787000
0xe92c99828b93a868c4cedac6c60b5ac4eb287104b788cadeacc8cf97f16c8700,16,19000099,51438,29042037153,19042037153,514380000000000
