transaction_hash,transaction_index,block_number,gas_used,effective_gas_price,base_fee_per_gas,earn_txn_fee
0x993b20e0e36141b4287edb3313faaed8d4b7f538f400ee1747085509ca45e667,0,19000061,748840,16104923756,16104923756,0
0xd8f0d456e071236cc2c8ca892fef6d3d7fe5dfa734267c762023e66c8f4d846c,1,19000061,474868,16204923756,16104923756,47486800000000
0xfe8c924e84f3257a73f50a08ee54fdc0f4ce8affaf282d45e41639e763784415,2,19000061,340489,16114923756,16104923756,3404890000000
0x77653e9197fc73705229d8047f5250aa862da02a483b28348eedd416cdfa6d05,3,19000061,353251,65397243282,16104923756,17412561164879026
0x1f859046a7af13a47084fa31f781fdfbc57c80e9f2acccf6fe8c3f72eaece27f,4,19000061,177873,31104923756,16104923756,2668095000000000
0xe0fb5c0f4c634fb6c596def8c41f36ef84f090bc7940a42c04753a1aee0e475a,5,19000061,110329,29904000000,16104923756,1522438282924276
0xa1e6ecedac2d40314fd6fd1a30ee29a902c7b363713e3c2cdc04ab8262cd34f2,6,19000061,47195,38104923756,16104923756,1038290000000000
0x526ff2ecc01117b0cddc2d382cc4faa886096d61006b03bc80c9ef5dd6545100,7,19000061,123842,24460467073,16104923756,1034767195463914
0x6999cffedd7c1cb947285e1b483da9d0e9da7d0294c809e6e5f7a9b14bb5b0dd,8,19000061,140000,23154923756,16104923756,987000000000000
0xcbef02c7bf1d649c1601db0f126d0055de3742f3eab2f7cdc7276749934a38f8,9,19000061,175499,21104923756,16104923756,877495000000000
0x07bd233a06504141f4ffdb8edc9b4657651c81871a56dc90e53065e5b54dd1f7,10,19000061,167244,19104923756,16104923756,501732000000000
0xa17c15831353312634b014e6e5db604dec07c506de4794fbc74aca1cf18edc88,11,19000061,147865,18604923756,16104923756,369662500000000
0x3143fe22cfca9fc614d193d8cf95710e4883d6dfd4b086bd94f7007020c05c8b,12,19000061,261746,17144635381,16104923756,272140358997250
0xbace03eb2b333a0575b956418cf858d0e5f7a660cf49460dab0f9bc34e85169d,13,19000061,21000,26516280852,16104923756,218638499016000
0x106a9fe54224a906871ecb5d542d3bbb8552c38f2b9f6d646b1539cb0747a710,14,19000061,51450,25000000000,16104923756,457651672753800
0x18a40a3dcc759147a0dc4f4f40cabc3c88035fe8d0075801541c567719b596fc,15,19000061,47255,21104923756,16104923756,236275000000000
0xdb784a427dd7af59865b1a46c2549c6a61ff790d5206ce828fd942c909d411dc,16,19000061,47255,21104923756,16104923756,236275000000000
0x2ccdb279463585a573269ab11ae949af5981d36463c62900e3491590a6d2c474,17,19000061,21000,21000000000,16104923756,102796601124000
0xe81e79f2dff784632fc99ab88b248a7ec387ec265922c59ab0455c77c09c23c0,18,19000061,74388,20900000000,16104923756,356696131638672
