transaction_hash,transaction_index,block_number,gas_used,effective_gas_price,base_fee_per_gas,earn_txn_fee
0x16a0f66c450b1e1a769a065cc83dfcf80fb3cf21a17113b56e5ef21bfd614298,0,19000060,160188,16506280852,16506280852,0
0xfa17acaec36713f9cc73c1c5f4c46ff9dfbefa4c81dcb328f0eb82bb7a3c2ee9,1,19000060,136457,16606280852,16506280852,13645700000000
0xb6c7cf5f78ded203d6d055b718cf7a561f72424756875a84c5da670fdf0beab2,2,19000060,297958,16806280852,16506280852,89387400000000
0xe2c20b8dd12ee96689fc1e569efb04e043aa241892066c41695407138467342d,3,19000060,215549,96555140950,16506280852,17254451745263802
0x68cdf0002cae49bb2f70f9c1d91eeccc8a3b9c42756b5a301b18b965a80a7cad,4,19000060,379040,36368968728,16506280852,7528753212519040
0x8030fbb33a99994049287b925ac25aad9c7619915d0ff060e9c3bdf7ec2e74b1,5,19000060,175511,31506280852,16506280852,2632665000000000
0x706743c9d4cb901653edbf4cf571276231ffd5f8879480f5ec74eed3ee8449fb,6,19000060,165083,31506280852,16506280852,2476245000000000
0xb9a32a3d58ac820f261d6b8c584ed9da605d370edd7980c68ca52c2f0f454098,7,19000060,135356,16506280852,16506280852,0
0xde4fb5a8601448aa12935c9b643f86c515ed9131c9b6d3d8d8fc2e4d5b06f2c3,8,19000060,163024,26506280852,16506280852,1630240000000000
0xaf3274a95335983b2e008a262463e6b4ef4709e72871418e477009e95a384d88,9,19000060,486356,18418162544,16506280852,929855132194352
0x95563974b3ce353181d7c250a9bff5ef705e0a6a6c6f401ebf3e48c70d944e47,10,19000060,191552,19506280852,16506280852,574656000000000
0xb4b98c700c8018e47c5ef409680b4f2d486c26b1b87cd8ce2f7e3187e37948b8,11,19000060,164072,19506280852,16506280852,492216000000000
0x32ac68fad0fae2bb49dbf1c7dba4e2c97065fbb10d48276fef641ff62b1d514a,12,19000060,144265,19820048398,16506280852,478060675023690
0xf80b715cfd68ea023964e4b67b71e267e5930043a6adb4682872627dcbad55c1,13,19000060,142443,19820048398,16506280852,472022990554878
