block_number,transaction_index,from_address,to_address,value,gas,gas_price
19000084,0,0x8ba3a8944adb5fc5468399bc7c8786b1edd22aaf,0xca980f000771f70b15647069e9e541ef73f71f2f,50500000000000000,416932,87746512817
19000084,1,0xab95799727dfe3431bf4b52d2bafc6f8a6fac2c3,0x99b1817acb40e76c309e26b2face9da9eff55317,0,300000,61283091279
19000084,2,0xf72617d0acc7bcb12e8f58578ac4c0079f4a1409,0x3328f7f4a1d1c57c35df56bbf0c9dcafca309c49,20000000000000000,406330,43746512817
19000084,3,0x4c1a16a87942ff04fbaddfad212a51291dcb45a4,0xfcbc85aebf649a8e4fd4529af75f96d2d7e633bc,0,120000,38746512817
19000084,4,0x570a00fbf676cba7671c245e4b77c07f8e5a4a9b,0xc6fecdf760af24095cded954de7d81ab49f8bae1,0,900000,18746512818
19000084,5,0xc02499c2ae012c1ca5f548b629dee32004898645,0xed12310d5a37326e6506209c4838146950166760,45500000000000000,296804,34746512817
19000084,6,0x2682ac9bae3cfbb5c9a6270de502ef54d0849077,0xf7d5f97439a8079cd582ccb92ed8e7c994419d90,37755570000000000,21000,32000000000
19000084,7,0x94229f8ae7e0e81b390797961e25ede3bd76da3b,0x62ae6c4e92b957ae9a35f471fc189380ca2c323f,37656250000000000,21000,32000000000
19000084,8,0x6463dbd8ae7dfb08cfe903cdf98ea7558faf36e6,0x48b6101128c0ed1e208b7c910e60542a2ee6f476,250000000000000000,148906,30000000068
19000084,9,0x7dab43b2b4510f7185099018245083721a4a5d5b,0x80a64c6d7f12c47b7c66c5b4e20e72bc1fcd5d9e,0,340281,29746512817
19000084,10,0xef5a110e4c487a5076df61dada2ef4bcf4854154,0x3328f7f4a1d1c57c35df56bbf0c9dcafca309c49,134083823465995241,406330,28746512817
19000084,11,0x0000db5c8b030ae20308ac975898e09741e70000,0x000037bb05b2cef17c6469f4bcdb198826ce0000,0,142380,27570454014
19000084,12,0x91d94c46d0dcc410e31d5352b7c2bea30eb6680e,0xdac17f958d2ee523a2206206994597c13d831ec7,0,63197,25611664007
19000084,13,0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88,0x45804880de22913dafe09f4980848ece6ecbaf78,0,122736,25000000000
19000084,14,0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88,0xb50721bcf8d664c30412cfbc6cf7a15145234ad1,0,89374,25000000000
19000084,15,0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88,0xed1167b6dc64e8a366db86f2e952a482d0981ebd,0,77865,25000000000
19000084,16,0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88,0x45c1702826e8225b26695e1149a0e3b808476e73,241340000000000000,50000,25000000000
19000084,17,0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88,0xa7449371c8d1c3ce7aea0fa402d8159e87f31a5f,4150000000000000,50000,25000000000
19000084,18,0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88,0xb131f4a55907b10d1f0a50d8ab8fa09ec342cd74,0,77782,25000000000
19000084,19,0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88,0xc622eeb36d1e27b4d9c319232310301ec50c512b,7040000000000000,50000,25000000000
19000084,20,0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88,0xdac17f958d2ee523a2206206994597c13d831ec7,0,96082,25000000000
19000084,21,0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88,0x3198188d6dc391ee4af735e547d444c6ad26b5fd,233620000000000000,50000,25000000000
19000084,22,0xc9dcf88d341edf1ca567cda5eebed6a536b29bfb,0x0000000000000000000000000000000000000000,0,30112,23746512817
19000084,23,0x149008ab919eee1c092be0a7585ec6def1132cea,0x88c9b412e209255e1b9021edba29c2cb60552a4c,92324451512884479,21000,23139774590
19000084,24,0x22ba5c6c1c76429ef8509d1f521f0c81f67dc0b0,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,250000000000000000,216986,23118619181
19000084,25,0xd108fd0e8c8e71552a167e7a44ff1d345d233ba6,0xa89879885d887668f6df051c5ac7500f958fc1cf,450200000000000000,21000,23042512817
19000084,26,0x9acbb72cf67103a30333a32cd203459c6a9c3311,0xd533a949740bb3306d119cc777fa900ba034cd52,0,90000,23000000000
19000084,27,0xe92363629dd8e26679dd2d86a2761d67423f97f3,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,1220000000000000000,246008,22639415506
19000084,28,0xc51fef22abd1f85664c499db6c0eaec65b7ac236,0xdac17f958d2ee523a2206206994597c13d831ec7,0,94795,22245794544
19000084,29,0xa3df9408e6e0445bb0265dca9575ab40caba3e00,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,175200000000000000,209566,22056351912
19000084,30,0xc00b1787e4e49e63843310291dc0d47193771f0c,0x80a64c6d7f12c47b7c66c5b4e20e72bc1fcd5d9e,127391414893157890,369095,21746512817
19000084,31,0xa9abee56a0ee419816698f1721dfff14e3ecc0fa,0x80a64c6d7f12c47b7c66c5b4e20e72bc1fcd5d9e,0,551282,21746512817
19000084,32,0xabc65385742429c4fb41999045248a4946dae19e,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,100000000000000000,187947,21634909589
19000084,33,0xd79c0707083a92234f0ef5fd4bfba3cd2b7bc81d,0x81f91aca8c05b3eefebc00171139afefac17c9a6,20063891486111087,23152,21588454256
19000084,34,0xddc1fcc2fc942ee4bae4102d73cd38a51c8648d9,0x5d22045daceab03b158031ecb7d9d06fad24609b,13000000000000000,80000,21246512817
19000084,35,0xfa8b6a83977dc6311f0578b7f90667fb736a9027,0xdac17f958d2ee523a2206206994597c13d831ec7,0,79500,21000000000
19000084,36,0xbbd9c433a71c21c774aa3f437d2bd5f48e5efd5f,0xcb83ca9633ad057bd88a48a5b6e8108d97ad4472,0,300014,20746512817
19000084,37,0xc6bed363b30df7f35b601a5547fe56cd31ec63da,0x514910771af9ca656af840dff83e8264ecf986ca,0,500000,20746512817
19000084,38,0x89e51fa8ca5d66cd220baed62ed01e8951aa7c40,0xdac17f958d2ee523a2206206994597c13d831ec7,0,500000,20746512817
19000084,39,0x9ee5ebe3f67b86fcd54a2cd9c2e723e2823b421c,0xe2d3234ea50177edc643e4eaf1211364a2b28c82,19356000000000000,21000,20746512817
19000084,40,0xf89d7b9c864f589bbf53a82105107622b35eaa40,0xdac17f958d2ee523a2206206994597c13d831ec7,0,90000,20746512817
19000084,41,0xf89d7b9c864f589bbf53a82105107622b35eaa40,0x514910771af9ca656af840dff83e8264ecf986ca,0,90000,20746512817
19000084,42,0x0a245170a86e39860a6f5d53dc697cca883a3c41,0x808d0aee8db7e7c74faf4b264333afe8c9ccdba4,232443883230843000,21000,20746512817
19000084,43,0xd43bd66784a1a4c6328d131cc94cec3f82d6172b,0x808d0aee8db7e7c74faf4b264333afe8c9ccdba4,42256859316341000,21000,20746512817
19000084,44,0x10a0d450a3e92800f640a8885d3e6bbaa06e1132,0x808d0aee8db7e7c74faf4b264333afe8c9ccdba4,35897993230843000,21000,20746512817
19000084,45,0x7a309171766f7eba52eda3b1cefc998fb2a2868c,0x808d0aee8db7e7c74faf4b264333afe8c9ccdba4,24323324375393071,21000,20746512817
19000084,46,0x9b95fc1f5ca99554d854aa8db990874c480815fc,0x808d0aee8db7e7c74faf4b264333afe8c9ccdba4,76164323230843000,21000,20746512817
19000084,47,0x9696f59e4d72e237be84ffd425dcad154bf96976,0xdac17f958d2ee523a2206206994597c13d831ec7,0,220436,20746512817
19000084,48,0x28c6c06298d514db089934071355e5743bf21d60,0xcd014e51979cdab9fae5cdc08ebef2b2ecbffeb3,4324268600000000000,207128,20746512817
19000084,49,0x21a31ee1afc51d94c2efccaa2092ad1028285549,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,0,207128,20746512817
19000084,50,0x56eddb7aa87536c09ccc2793473599fd21a8b17f,0xdac17f958d2ee523a2206206994597c13d831ec7,0,220436,20746512817
19000084,51,0x04c079bb31deed8391015eed8d6b625a40957058,0xdac17f958d2ee523a2206206994597c13d831ec7,0,250000,20746512817
19000084,52,0x28c6c06298d514db089934071355e5743bf21d60,0xdac17f958d2ee523a2206206994597c13d831ec7,0,220436,20746512817
19000084,53,0x21a31ee1afc51d94c2efccaa2092ad1028285549,0xdac17f958d2ee523a2206206994597c13d831ec7,0,220436,20746512817
19000084,54,0x28c6c06298d514db089934071355e5743bf21d60,0xb131f4a55907b10d1f0a50d8ab8fa09ec342cd74,0,207128,20746512817
19000084,55,0x28c6c06298d514db089934071355e5743bf21d60,0x430ef9263e76dae63c84292c3409d61c598e9682,0,207128,20746512817
19000084,56,0x360ca59fa7e31ba2498795c4e5e55f492fe8ce31,0xa4a1b573f449e121436bccc983cd430f77a89c18,60209427145900604,21000,20746512817
19000084,57,0x808d0aee8db7e7c74faf4b264333afe8c9ccdba4,0xdac17f958d2ee523a2206206994597c13d831ec7,0,100000,20746512817
19000084,58,0x00952886da1390daaf61138baac9c95de7f8dc1a,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,400000000000000000,328955,20563947126
19000084,59,0x3180414fa0129c1ab4cd6dc20ecac19bd94a6d9d,0xdac17f958d2ee523a2206206994597c13d831ec7,0,70000,20563947126
19000084,60,0x974caa59e49682cda0ad2bbe82983419a2ecc400,0x09ee545378d374050e672114a3e79a451f7d8b9e,42612023069700000,21000,20291439557
19000084,61,0x974caa59e49682cda0ad2bbe82983419a2ecc400,0x7790ff4ea789f19cae6001940cdd395374de5567,42612023069700000,21000,20291439557
19000084,62,0x974caa59e49682cda0ad2bbe82983419a2ecc400,0x71f5431f1ac2816e3a63dc2b14a17992c4808530,43479228609600000,21000,22844577024
19000084,63,0xbe411d3c7f6a8807033efe7da6583c53ba2fccc3,0xcac0f1a06d3f02397cfb6d7077321d73b504916e,10000000000000000,53793,20246512817
19000084,64,0xdc81aee30d6a2a62d5433b30c2512e0c43dc0635,0x500a33387531ebd622ab5b532a4fc6f8d79efbf1,0,255710,20246512817
19000084,65,0x46340b20830761efd32832a74d7169b29feb9758,0x3994d91ab34670f82a81086001781e211a7ff99d,33370000000000000,350000,19984864417
19000084,66,0xfc267f4359cea8b5a56ba24975cccf30f01e87ae,0x0000000000000000000000000000000000000000,0,22744,19950000000
19000084,67,0x705025702d323e14e2bd6dd9fc69305bb4e92554,0x0eae044f00b0af300500f090ea00027097d03000,0,302693,19852270972
19000084,68,0xe7b604f37ccf4f64c67deed322a6a399c5fb994d,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0,186779,19785949659
19000084,69,0xe661b9dc10576dd032bc4059023ef29a36aee0ae,0x4f1200c1a6453e0e22ad528d203844727d3cf0d4,0,800000,19746512817
19000084,70,0x7830c87c02e56aff27fa8ab1241711331fa86f43,0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,0,2000000,19746512817
19000084,71,0x95a9bd206ae52c4ba8eecfc93d18eacdd41c88cc,0x876abc31a6888d4e5ce5a0ac274bdcbfd18e6a1f,54362600000000000,21000,19746512817
19000084,72,0xeb2629a2734e272bcc07bda959863f316f4bd4cf,0x51e63e7e59a09fc587a9e53498e2f401e7d35ba6,3841250000000000,21000,19746512817
19000084,73,0xb739d0895772dbb71a89a3754a160269068f0d45,0xdb6ae6bc0e57bcdf67becae12b4f588b550760d2,100000000000000000,21000,19746512817
19000084,74,0x503828976d22510aad0201ac7ec88293211d23da,0x677f8795b8aff8ae595663345de8399a62bd25b4,42882550000000000,21000,19746512817
19000084,75,0x7c195d981abfdc3ddecd2ca0fed0958430488e34,0xdd6607f7aae3acb326e8d914fc2f0cdb63f363e9,40280080000000000,21000,19746512817
19000084,76,0x95a9bd206ae52c4ba8eecfc93d18eacdd41c88cc,0x0809ad3e64354cf539b66715c433c3edd76bfb67,18063520000000000,21000,19746512817
19000084,77,0x7c195d981abfdc3ddecd2ca0fed0958430488e34,0x19fa4f849e24aee46814ddd5b98e6ff44ca043ee,10365720000000000,21000,19746512817
19000084,78,0xeb2629a2734e272bcc07bda959863f316f4bd4cf,0xef3ceb3a35f59212a665f96a821135af16c9141e,198005000000000000,21000,19746512817
19000084,79,0xddfabcdc4d8ffc6d5beaf154f18b778f892a0740,0xfe8f5ce89e196791b9f70d0fd2a87d5953743710,10484090000000000,21000,19746512817
19000084,80,0xeb2629a2734e272bcc07bda959863f316f4bd4cf,0x79fdbf9fda02e91834ad09795cad2d241d7fb964,67989010000000000,21000,19746512817
19000084,81,0xeb2629a2734e272bcc07bda959863f316f4bd4cf,0x6ef08a5b0b01b2c52d5b6bdded994a893370a9ee,38452350000000000,21000,19746512817
19000084,82,0xa21a16ec22a940990922220e4ab5bf4c2310f556,0xf3fa3d22737c04f459119faf2719182ee4103294,63656808775950000,21000,19746512817
19000084,83,0x42bd728dd3767eb40a72d14bc8c59b6dd71a7a3f,0x0000000000000000000000000000000000000000,0,28000,19746512817
19000084,84,0x54bd9b20437e9b159e6e3a8fca7e8550d307aae1,0x0000000000000000000000000000000000000000,0,28000,19746512817
19000084,85,0x7ede1cc6f4b6a7163f7b214e926c755b8ee42a16,0xb95cd94ced8380e2ed5e81f01f1a339fa5d6f22f,14139980000000000,21000,19746512817
19000084,86,0x74dec05e5b894b0efec69cdf6316971802a2f9a1,0xef64dea6b4f958a0d48c05e1eca00e35f7314834,45310750000000000,55000,19746512817
