block_number,transaction_index,from_address,to_address,value,gas,gas_price
19000079,0,0x791687225ec96e24251e2fee038e4bc21a0bca75,0x80a64c6d7f12c47b7c66c5b4e20e72bc1fcd5d9e,100000000000000000,369242,73721570440
19000079,1,0xdd813e2c029b19b5ef271ec9e75d2255dbcabd84,0x80a64c6d7f12c47b7c66c5b4e20e72bc1fcd5d9e,100000000000000000,369095,67721570440
19000079,2,0x36e7c2d14c71047db3c7137b216c5cf8d6459567,0x3328f7f4a1d1c57c35df56bbf0c9dcafca309c49,210000000000000000,254026,18721570440
19000079,3,0xab95799727dfe3431bf4b52d2bafc6f8a6fac2c3,0x99b1817acb40e76c309e26b2face9da9eff55317,0,300000,93110075582
19000079,4,0x6d3783a68208717328f7f6d9bb94a6bb41053dfe,0x2c2c82e7caf5f14e4995c366d9db8cdfdf7677e3,50000000000000000,327108,40721612509
19000079,5,0xdca6de59a84a6325df50f2c3ecd3634fc430995b,0x3328f7f4a1d1c57c35df56bbf0c9dcafca309c49,200000000000000000,305172,32721570440
19000079,6,0x6836ae4de57c5511b8ffa080e16f6f278adfb1b8,0x3328f7f4a1d1c57c35df56bbf0c9dcafca309c49,0,349574,25721570440
19000079,7,0x71ff7e685263a29f6932e63de8a5b8dc7cb7e3a0,0x3328f7f4a1d1c57c35df56bbf0c9dcafca309c49,0,280948,22721570440
19000079,8,0x70ad6a24abd247fce9b87b2e85972049cc0170ad,0xb62bdeda5d1e7a03a615b793e949c19d158c6b46,0,454023,20221570440
19000079,9,0xb18ccf69940177f3ec62920ddb2a08ef7cb16e8f,0xd249942f6d417cbfdcb792b1229353b66c790726,0,151177,25539997053
19000079,10,0xb01cfe627620184b910c63d0df7e0dd11d1e9c21,0x80a64c6d7f12c47b7c66c5b4e20e72bc1fcd5d9e,0,521917,20721570440
19000079,11,0xfc844bc52650f6d375bd107e91ca101cd8225255,0x80a64c6d7f12c47b7c66c5b4e20e72bc1fcd5d9e,0,521938,20721570440
19000079,12,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,36444943,137597,17721570440
19000079,13,0x0d03167ba7102d7e217628bd36f4db2ef887c013,0x1111111254eeb25477b68fb85ed929f73a960582,0,597470,17771570440
19000079,14,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,37374532,129137,25240669694
