block_number,transaction_index,from_address,to_address,value,gas,gas_price
19000045,0,0xc7de8823ec7ec55e9883a3ffbc1d5b56b7e05385,0x80a64c6d7f12c47b7c66c5b4e20e72bc1fcd5d9e,200000000000000000,261855,66400747819
19000045,1,0xc4c162e5e2475675cf07f4c851659d0f4266c224,0x4736b02db015dcd1a57a69c889d073b100000000,171414904,105471,16400747819
19000045,2,0x479494f2e03504dfdec76c00da9f4de9ba602c9a,0xdef1c0ded9bec7f1a1670819833240f027b25eff,467334305648280000,143656,16500747819
19000045,3,0xc4c162e5e2475675cf07f4c851659d0f4266c224,0x4736b02db015dcd1a57a69c889d073b100000000,173679372,95706,95198091454
19000045,4,0xe981a732004956ecb35f6bcb20ff6e7e95149fd2,0x3328f7f4a1d1c57c35df56bbf0c9dcafca309c49,0,280482,43400747819
19000045,5,0x7b57f3d0c21495b5a9ddba39d06a38eed4939582,0x3328f7f4a1d1c57c35df56bbf0c9dcafca309c49,0,348134,31400747819
19000045,6,0xaea98368052aba5c84a081adaff8da40c4f17a63,0x3328f7f4a1d1c57c35df56bbf0c9dcafca309c49,0,348134,31400747819
19000045,7,0x329e8193515a425080a409fa8cdd504aa3d0aa9c,0x80a64c6d7f12c47b7c66c5b4e20e72bc1fcd5d9e,40000000000000000,271634,41400747819
19000045,8,0xb98c6340a49cc87256435d7fbd795d95c8f25d11,0xe592427a0aece92de3edee1f18e0157c05861564,0,200000,32455803682
19000045,9,0x46187698198fa02f071d999347fe0db2ee79934b,0x51c72848c68a965f66fa7a88855f9f7784502a7f,0,140660,34232644487
19000045,10,0x0b166fa24f6c3e899c29d511657902bed3d35ddf,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,100000000000000000,186319,26400747819
19000045,11,0x406b5707c7436720fe93bfa12f9751f872f4a56e,0x8571c129f335832f6bbc76d49414ad2b8371a422,0,388911,21223836813
19000045,12,0xfe0c760cbcb9da239b9ba805f0aeaed3be84f65a,0x63756a3c3bf677baab9d9e06457402ed05be8570,1167462768237442,1000000,16400747819
19000045,13,0x44a07575705f27b979b86ffea12fe8197f8186b8,0x1111111254eeb25477b68fb85ed929f73a960582,0,176400,22450747819
19000045,14,0xe5f8640b1e0b16d658e147a2942825a2e340bb59,0x3328f7f4a1d1c57c35df56bbf0c9dcafca309c49,0,280841,21400747819
19000045,15,0xc914824871b0d09ae86b92efcc031e2434751191,0x80a64c6d7f12c47b7c66c5b4e20e72bc1fcd5d9e,0,319791,21400747819
19000045,16,0x16c473448e770ff647c69cbe19e28528877fba1b,0x9008d19f58aabd9ed0d60971565aa8510560ab41,0,590616,18469140707
19000045,17,0x14bed515b5958a938283989ca40f78d586fe5088,0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0,0,58444,19061830996
19000045,18,0x14bed515b5958a938283989ca40f78d586fe5088,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0,230861,19061830996
19000045,19,0x467c3b4ddd7dbf56e2ae9a87aa210e0731a85253,0x80a64c6d7f12c47b7c66c5b4e20e72bc1fcd5d9e,0,320034,19400747819
19000045,20,0x5190e39560613bda66650676b00f3c2081fa6ba8,0x80a64c6d7f12c47b7c66c5b4e20e72bc1fcd5d9e,0,319956,19400747819
19000045,21,0xa76852b1e074a28ac0eb0c1bf84ce1c8b14b17a9,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,386461707987191253,282628,18716294331
19000045,22,0x6396de8b8acf1d4b15c2bac1a932cccf985f2d3d,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,562238886021918430,225583,19108006846
19000045,23,0x2e034566f91a5ada0c32f012ef0ad1d775dcef3a,0xf268035f5f7fa5bd43eb8b84723d880ec2748d81,0,227021,17400747819
19000045,24,0x050a44c600b4a222532e6f9fc5fdc5ff4710529d,0xdac17f958d2ee523a2206206994597c13d831ec7,0,58604,18716294331
19000045,25,0x089f2faf457f3f28f8e2a503ffcac1a3d5eef34b,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0,263034,16700747819
19000045,26,0x54620b9a8a2c43aa8ed028450a7ce656a9c69feb,0x1111111254eeb25477b68fb85ed929f73a960582,778388857841491712,210055,16707673788
19000045,27,0x87d53dffaaef0d0d592e3acdc6e4a4323f9a7458,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,500000000000000000,192297,16700747819
19000045,28,0x7db5a144d31cd6c1509950c25768bc9ecc90c0e8,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0,253971,16500747819
19000045,29,0x7e62f7c4a22277934ec4151f638e0eff483b62bc,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,66686492894384994,212846,16500747819
19000045,30,0x8b9de9f8ac145af0a007d9d3c47817c6885d88c5,0xd1f17b7a6bff962659ed608bcd6d318bb5fbb249,0,56706,16499747819
19000045,31,0x4e28c5f349c39880bd9bb5cf718195242c8481f9,0x0000000000000000000000000000000000000000,0,22952,16500747819
19000045,32,0x5855747a309bc28505bdb34bca2ffd6baba37010,0x40fc8e27a49e5a05a4573190a9ebc4149d413569,440000000000000000,21000,250000000000
19000045,33,0xffec0067f5a79cff07527f63d83dd5462ccf8ba4,0xdac17f958d2ee523a2206206994597c13d831ec7,0,200000,37180000000
19000045,34,0xffec0067f5a79cff07527f63d83dd5462ccf8ba4,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0,200000,37180000000
19000045,35,0xfac52fe699e833a6483346d6cfc4c012ebd9820c,0xdf65a175b5532aabf621e946615c15e89788f7b1,200000000000000000,21000,32000000000
19000045,36,0x4103c267fba03a1df4fe84bc28092d629fa3f422,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0,63524,30000000000
19000045,37,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,0x1f6c598fcbb27a82640f780ec7e686b83d8a0af0,150000000000000000,90000,22400747819
19000045,38,0x5eb6eb24fa68e7669c2fdedfa2f5e77dc8a23f4a,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0,70000,22293432396
19000045,39,0xb23360ccdd9ed1b15d45e5d3824bb409c8d7c460,0xdac17f958d2ee523a2206206994597c13d831ec7,0,84000,21404747819
19000045,40,0xd4cfbc59dbbaeb79016a038fc980e124a027b5b9,0x0000000000000000000000000000000000000000,0,30726,21400747819
19000045,41,0x167a9333bf582556f35bd4d16a7e80e191aa6476,0xbbb952fc23301827d9340ddc46ba5a766bc41956,5100000000000000000,81000,21400747819
19000045,42,0x389044f3ac7472060a0618116e3624a5f0f20f28,0x937574f9a1bb05e32d043c6962683cd91c1b07ed,57312978285150550,21000,21132747819
19000045,43,0x389044f3ac7472060a0618116e3624a5f0f20f28,0xded030a57be94a1267a01ea158794cb7b5a2ca86,178354370588675335,21000,21404747819
19000045,44,0xbbd0d4d067d5af2065b1b6fd936d93237ae1c56c,0xeccd2e3a2da3262ba872c4e75da528970b3ddaac,389552267858289552,21000,21132747819
19000045,45,0xbbd0d4d067d5af2065b1b6fd936d93237ae1c56c,0x1b42b41e81cb9432e6b362b4fc5656abe6fbc05d,228377554003032040,21000,21404747819
19000045,46,0xdec815281519f6cb080090317e0ba3e446fafe43,0xa52d1f332c862e9613ee6004c17dbb5b4e270e19,3600000000000000,90000,21000000000
19000045,47,0x459f42f06b904479e87b77ec542476353dc3f3bf,0xd3adb7a9e76544a1190cb3fab5dad7d6afa4c2f1,28090552405318007,21000,20654126299
19000045,48,0x45300136662dd4e58fc0df61e6290dffd992b785,0xaa99fc695eb1bbfb359fbad718c7c6dafc03a839,6868005700000000000,620000,20576001902
19000045,49,0xce0d2213a0eaff4176d90b39879b7b4f870fa428,0xd91efec7e42f80156d1d9f660a69847188950747,0,687375,20576001902
19000045,50,0xe19b4d38002308b9fa7cf823fe2895813b328a4d,0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85,0,395220,20400000000
19000045,51,0x82ab7c665b69b7992cf26bf1f26969b2b75beffe,0xe66b31678d6c16e9ebf358268a790b763c133750,4567079246171259,401857,20152839157
19000045,52,0x9d5797ffc062fc3dced61cc209f35337c538fa1e,0xdac17f958d2ee523a2206206994597c13d831ec7,0,65209,20000000000
19000045,53,0xb5782404582cea80ccef43f5397a120164c7e94d,0x8f5ca1a023771e688ab2704f430875430bbc4cde,1686048194280656,21000,19405566617
19000045,54,0x90aa3375c0b0b3a403fd50cc5017387fee4172f7,0x4f1200c1a6453e0e22ad528d203844727d3cf0d4,0,56352,19400747819
19000045,55,0x0d525f55df28ca2d4e9fe529519ee3288cadee20,0xd5b9825730fb111d51887b2cdf67fc57f29eb7f4,0,57141,19400747819
19000045,56,0x1e8741f053137f9471b8829f1b17722160a687df,0x74c6236f7cc3fdcea1518eac212ad67d6dfa0ee2,200000000000000000,2004609,18900747819
19000045,57,0x050a44c600b4a222532e6f9fc5fdc5ff4710529d,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0,305637,19108006846
19000045,58,0xae2d4617c862309a3d75a0ffb358c7a5009c673f,0xa24787320ede4cc19d800bf87b41ab9539c4da9d,0,500000,18400747819
19000045,59,0xd11b2f9194e00f91c3f12d147352cfcdfe72756d,0x1654067bc315028b90b59ea13ca78638c992d168,47177771080399264,21000,18400747819
19000045,60,0xf89d7b9c864f589bbf53a82105107622b35eaa40,0xf79fb082c6e3e176293f1d6c510828f7b944a00e,77220000000000000,90000,18400747819
19000045,61,0x44a7af2655d4584632297c2cdec252a7488f8451,0x3f7f88d58aa52098aae4b4cc600900de940f557c,97972700000000000,50000,18400747819
19000045,62,0x9696f59e4d72e237be84ffd425dcad154bf96976,0xe216cbec1f1b9f4fbfe37d22bee6909258cf1df0,97106480000000000,207128,18400747819
19000045,63,0x4976a4a02f38326660d17bf34b431dc6e2eb2327,0xc20fc9f35213d2fd0c107b82fd29a2a554d34c11,18722960000000000,207128,18400747819
19000045,64,0x309d16d2e29e0be9f7991b7a387d74f2e467a134,0xdac17f958d2ee523a2206206994597c13d831ec7,0,70000,18400747819
19000045,65,0xf89d7b9c864f589bbf53a82105107622b35eaa40,0x6b175474e89094c44da98b954eedeac495271d0f,0,90000,18400747819
19000045,66,0x5cab431bcac3ed7aa3702b34f58bb9ae8f0a4656,0xf955c57f9ea9dc8781965feae0b6a2ace2bad6f3,0,88304,18400747819
19000045,67,0x4cb6f0ef0eeb503f8065af1a6e6d5dd46197d3d9,0x4c36d2919e407f0cc2ee3c993ccf8ac26d9ce64e,0,750000,17910747819
19000045,68,0xdfd5293d8e347dfe59e90efd55b2956a1343963d,0xdac17f958d2ee523a2206206994597c13d831ec7,0,220436,18400747819
19000045,69,0xdfd5293d8e347dfe59e90efd55b2956a1343963d,0x3597bfd533a99c9aa083587b074434e61eb0a258,0,207128,18400747819
