block_number,transaction_index,from_address,to_address,value,gas,gas_price
19000068,0,0xaab2f49e5b0779d50fef7d801bb4bc682dbbdb9e,0x0096913d68a000311266250f0000000000e04c00,241741,202080,16402325426
19000068,1,0x251300fe869e78bee29e35d7cfe97b4e33e746d8,0xf3de3c0d654fda23dad170f0f320a92172509127,50000000000000000,224021,16902325426
19000068,2,0xbe17cea8a8a1d73e332126a8e59461057a6088fd,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,50000000000000000,214291,16501325426
19000068,3,0xaab2f49e5b0779d50fef7d801bb4bc682dbbdb9e,0x0096913d68a000311266250f0000000000e04c00,248597,155716,54508312654
19000068,4,0x8ba3a8944adb5fc5468399bc7c8786b1edd22aaf,0xca980f000771f70b15647069e9e541ef73f71f2f,50500000000000000,335808,85402325426
19000068,5,0x9619320317c5212430dd30443bd564041c771a40,0x80a64c6d7f12c47b7c66c5b4e20e72bc1fcd5d9e,70000000000000010,292943,46402325426
19000068,6,0xb41c0cc3ac688b6d722cd3f107b807fb03dfafd9,0x80a64c6d7f12c47b7c66c5b4e20e72bc1fcd5d9e,0,620676,26402325426
19000068,7,0xfb9779477e5b4834bf2bc02dd29b97b344d0f700,0xa69babef1ca67a37ffaf7a485dfff3382056e78c,3053312,229932,16402325426
19000068,8,0xf569d702a331a4bca7fb642afb06551422e4b842,0x80a64c6d7f12c47b7c66c5b4e20e72bc1fcd5d9e,50000000000000000,277071,27402325426
19000068,9,0xbe2c1479b24fff0b3b69b37a3fb99a737f46b0da,0x7bb69f559ce50af8e93d45c65b1c147fda8e7031,0,500000,20819094708
19000068,10,0x3affd0904d5ec966ad94884571bac01e563b63d3,0x3328f7f4a1d1c57c35df56bbf0c9dcafca309c49,0,280482,21402325426
19000068,11,0x3a9acc3ff3b34d773980e3c331a50fc07c29acff,0x3328f7f4a1d1c57c35df56bbf0c9dcafca309c49,0,280482,21402325426
19000068,12,0xdca6de59a84a6325df50f2c3ecd3634fc430995b,0x3328f7f4a1d1c57c35df56bbf0c9dcafca309c49,0,280482,21402325426
19000068,13,0x15652636f3898f550b257b89926d5566821c32e1,0x5c7bcd6e7de5423a257d81b442095a1a6ced35c5,0,250000,16902325426
19000068,14,0x1fa35af839876d9564b84fcfd09ce3814dbd92b8,0x6f1cdbbb4d53d226cf4b917bf768b94acbab6168,12576,178818,16708174927
19000068,15,0x787300f3b94524360a7245923b20840131a42ada,0x56f88980be8dc5a213a207ebf649b23080140ee2,3287000000000000,70000,28000000000
19000068,16,0x0d0707963952f2fba59dd06f2b425ace40b492fe,0x1a57367c6194199e5d9aea1ce027431682dfb411,0,1000000,26402325426
19000068,17,0x0d0707963952f2fba59dd06f2b425ace40b492fe,0xb131f4a55907b10d1f0a50d8ab8fa09ec342cd74,0,1000000,26402325426
19000068,18,0x0d0707963952f2fba59dd06f2b425ace40b492fe,0xb131f4a55907b10d1f0a50d8ab8fa09ec342cd74,0,1000000,26402325426
19000068,19,0x0d0707963952f2fba59dd06f2b425ace40b492fe,0xb131f4a55907b10d1f0a50d8ab8fa09ec342cd74,0,1000000,26402325426
19000068,20,0x77134cbc06cb00b66f4c7e623d5fdbf6777635ec,0xb131f4a55907b10d1f0a50d8ab8fa09ec342cd74,0,120000,24634678498
19000068,21,0x77134cbc06cb00b66f4c7e623d5fdbf6777635ec,0xb131f4a55907b10d1f0a50d8ab8fa09ec342cd74,0,120000,24634678498
